產名,產期,產地,產季
柳橙,1月，2月，11月，12月,南投：中寮、水里，雲林：古坑、斗六、斗南，嘉義：竹崎、大林、梅山、中埔、水上、民雄、番路、東區，台南：六甲、白河、東山、柳營、大內、官田、南化,秋季
絲瓜,3月，4月，5月，6月，7月，8月，9月，10月,南投：埔里、魚池、水里、國姓，彰化：溪湖，雲林：斗六、斗南，嘉義：中埔、水上，台南：東山、柳營、白河，高雄：旗山、大社、美濃，屏東：里港、九如、鹽埔、萬丹、新園,秋季
青花菜,10月，1月，2月，3月，4月,彰化：芳苑、二林，雲林：崙背、元長、水林、麥寮、二崙、虎尾、北港、褒忠、土庫、大埤，嘉義：六腳、新港、鹿草、太保、朴子、溪口，高雄：路竹、湖內,秋季
杏鮑菇,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,嘉義縣:東石鄉，台中市，彰化縣，南投縣,秋季
香蕉,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,南投：中寮、國姓、集集、水里，雲林：古坑，嘉義：竹崎、中埔、梅山、番路，高雄：旗山、美濃、內門，屏東：萬巒、高樹、內埔、里港、鹽埔、新埤、長治，花蓮：壽豐,秋季
毛豆,2月，3月，4月，9月，10月，11月,屏東縣:崁頂鄉，彰化縣，雲林縣,秋季
小白菜,冬季除北部略少外，整年都有生產,,秋季
芥藍,八月到翌年四月,新北：樹林、新莊、三峽、蘆洲、土城，台北：士林，宜蘭：員山，桃園：觀音、大溪、蘆竹、桃園，苗栗：後龍，南投：仁愛，彰化：花壇，雲林：二崙、西螺、崙背、虎尾，台南：南區，高雄：梓官,秋季
芹菜,10月起至翌年4月,彰化：竹塘、埤頭、溪州、永靖、二林，雲林：林內、莿桐、西螺，嘉義：六腳，高雄：美濃、路竹、杉林、六龜，屏東：里港、高樹、萬丹、九如、鹽埔、新園、崁頂,秋季
長豇豆,4月到9月,屏東縣、雲林縣、高雄市、彰化縣等,秋季
莧菜,一年四季都可以生長,新北：三峽、深坑、蘆洲、鶯歌、新莊，宜蘭：五結，桃園：八德、新屋、蘆竹、桃園、大溪、大園、中壢、觀音，雲林：西螺、二崙，台南：南區，高雄：梓官、大寮、路竹,秋季
青蒜,平地主產期為11月至翌年2月，另5月至10月在高冷地區也可生產,新北：三峽、林口、淡水，宜蘭：五結、壯圍、三星、宜蘭、大同、員山，苗栗：卓蘭，台中：和平，南投：仁愛，彰化：芳苑、和美，雲林：元長、二崙、崙背、西螺、虎尾，嘉義：六腳,秋季
豌豆,1月，2月，3月，4月，9月，10月，11月，12月,苗栗：苑裡，台中：新社，南投：仁愛、信義，彰化：福興、二林、埔鹽、埤頭、竹塘、秀水、芳苑、田尾、溪州、大村、溪湖、埔心、大城、和美、花壇，雲林：麥寮,秋季
段木香菇,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,新北：雙溪、三芝、新店、淡水、烏來，宜蘭：南澳、大同，桃園：復興，新竹：尖石、關西、五峰，苗栗：南庄，台中：和平，南投：信義、埔里、仁愛、竹山，高雄：六龜，屏東：牡丹，台東：金鋒,秋季
荖花,6月，7月，8月,彰化：埔心、芬園，南投：草屯、國姓、仁愛、南投、埔里、名間、中寮、集集，屏東：屏東、鹽埔、長治，花蓮：鳳林，台東：卑南、太麻里、臺東、東河、關山、延平,秋季
蕹菜,3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,台北：北投、文山、士林，宜蘭：礁溪，桃園：八德、新屋、桃園、觀音、蘆竹，台中：大里、北屯，南投：名間，雲林：西螺、莿桐、二崙，嘉義：新港，台南：南區，高雄：梓官、彌陀，花蓮：吉安,秋季
梅,3月，4月，5月,台中：和平，南投：信義、仁愛、水里、國姓、中寮，嘉義：番路，台南：楠西，高雄：桃源、六龜、那瑪夏、甲仙，花蓮：富里，台東：池上、東河、海瑞、延平、卑南、關山、金峰,秋季
香水檸檬,11月，12月，1月，2月，3月,花蓮：壽豐，台中：東勢，台東：關山，彰化：田尾,秋季
波羅蜜,3月，4月，5月，6月，7月，8月，9月，10月，11月,花蓮：瑞穗，台東：大武、東河、太麻里，雲林：林內,秋季
萵苣,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,新北：林口、新莊，台北：士林，桃園：八德、桃園、大溪，南投：仁愛，雲林：西螺、二崙、崙背、麥寮、莿桐、虎尾、褒忠、東勢，彰化：二林、埤頭、芳苑，台南：南區，高雄：梓官,秋季
綠竹筍,5月，6月，7月，8月，9月,新北市：五股、八里、三峽、平溪、新店、深坑、烏來，桃園：大溪、復興、龍潭、龜山，新竹：寶山，苗栗：三灣、銅鑼，宜蘭：員山、冬山，花蓮：花蓮市,秋季
金針,4月，5月，6月，8月，9月， 10月,新北：淡水、三峽，苗栗：三灣，南投：魚池、仁愛，高雄：六龜、桃源，雲林：褒忠，花蓮：玉里、富里、光復、瑞穗、萬榮、豐濱、鳳林、卓溪，台東：金鋒、成功、池上、太麻里,秋季
龍鬚菜,4月，5月，6月，7月，8月，9月，10月,苗栗：卓蘭、三灣，台中：新社、北屯、石岡，南投：魚池、信義、水里、埔里、仁愛、竹山，嘉義：竹崎、番路，高雄：那瑪夏、六龜、桃源、甲仙，屏東：屏東、霧台、來義，花蓮：吉安,秋季
芥菜,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,嘉義縣、雲林縣、彰化縣等,秋季
山苦瓜,4月，5月，6月，7月，8月，9月,桃園：新屋，新竹：尖石、五峰、峨嵋，花蓮：吉安、秀林、新城、壽豐，台中：后里,秋季
紫心甘薯,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,花蓮：新城，彰化：大城,秋季
國蘭,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,花蓮：吉安、壽豐、光復，南投：魚池,秋季
玫瑰,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,苗栗：頭屋，台中：新社、北屯、豐原、西屯，南投：埔里、仁愛、草屯、信義、集集、名間、國姓、鹿谷，彰化：永靖、二林、田尾，高雄：六龜，屏東：九如，花蓮：壽豐，台東：東河,秋季
茶葉,3月，4月，5月，6月，9月，10月，11月，12月,新北：坪林、石碇、三峽，桃園：龍潭，新竹：關西，台中：和平，南投：名間、竹山、鹿谷、仁愛、魚池、南投、信義，雲林：古坑，嘉義：梅山、阿里山、竹崎、番路，屏東：內埔，台東：鹿野,秋季
茂谷柑,1月，2月,宜蘭：三星、員山，新竹：關西、橫山、芎林、新埔，苗栗：卓蘭、大湖，台中：東勢、石岡、新社，雲林：古坑、斗六、斗南，嘉義：大竹、番路、竹崎，南投：竹山，台南：東山，台東：東河,秋季
愛玉子,10月，11月,南投：信義、仁愛、國姓、水里，雲林：古坑，嘉義：阿里山、番路、梅山、中埔、竹崎，高雄：桃源、那瑪夏，屏東：霧台，花蓮：富里、萬榮，台東：海端、金峰、卑南、鹿野,秋季
華盛頓臍橙,9月，10月，11月,台東：成功、東河，南投：水里，台中：東勢，,秋季
橄欖,10月,苗栗：獅潭、頭份、頭屋、大湖、造橋，台中：新社，南投：國姓、鹿谷、太平，嘉義：番路、東區，高雄：內門，花蓮：富里，台東：達仁、卑南、新化、延平、大武、太麻里、關山,秋季
明尼桔柚,1月，2月,台東：長濱、東河、成功，雲林：古坑，,秋季
鳳梨釋迦,1月，2月，3月，7月，8月,台中：和平、霧峰、東勢，南投：國姓、水里，花蓮：壽豐、瑞穗、玉里，屏東：枋寮，台東：卑南、東河、臺東、太麻里、關山、大武、延平、成功、海瑞、金峰、六甲,秋季
晚崙西亞,2月，3月，4月,花蓮：光復、瑞穗、富里、豐濱，台東：東河、成功、卑南、海端,秋季
生薑,5月，6月，7月，8月，9月，10月,宜蘭：大同，新竹：尖石，苗栗：泰安、大湖，台中：沙鹿、清水，南投：仁愛、名間、中寮、南投、埔里、國姓，雲林：古坑，嘉義：番路，花蓮：卓溪、萬榮，台東：金峰、太麻里、卑南、鹿野,秋季
稻米,一期稻：4月，5月，6月，7月二期稻：8月，9月，10月，11月，12月,桃園：八德、龍潭、新屋、楊梅，新竹：，苗栗：三灣、後龍、竹南、通宵、苑裡，宜蘭：羅東、頭城、五結、三星、礁溪、員山、冬山，花蓮：花蓮市、鳳林、玉里、新城、吉安、萬榮、卓溪、光復、富里，台東：台東市、關山、長演、鹿野、池上，台南：後壁，高雄：大寮、美濃，屏東：新園、東港，台南：下營、白河,秋季
小米,5月，6月，7月，8月，12月,屏東縣，台東縣,秋季
洋桔梗,1月，2月，3月，4月5月，6月，7月，8月，9月，10月，11月，12月,台中：北屯，彰化：溪州鄉、永靖、北斗、田尾、溪湖、埔心，雲林：虎尾、斗南、土庫，嘉義：新港、六腳、西區，台南：將軍、七股、麻豆、佳里、鹽水、安定，屏東：鹽埔,秋季
樹豆,12月，1月，2月，3月,新竹：尖石，花蓮，台東,秋季
金花石蒜,8月，9月，10月.,新北市：淡水，苗栗：南庄、公館,秋季
孟宗筍,11月，12月，1月，2月,新北市：三峽，南投：竹山、鹿谷，嘉義,秋季
冬梨,8月，9月,新竹：橫山、寶山、新埔，苗栗：三灣,秋季
杭菊,2月，3月，4月,新竹：新埔，苗栗：銅鑼、西湖、公館、大湖、後龍、三義，台南：永康，高雄：橋頭，屏東：牡丹，台東：臺東、卑南、太麻里，花蓮：玉里,秋季
小蒼蘭,2月，3月，4月,桃園,秋季
仙草,9月，10月,苗栗：大湖、獅潭、南庄，台南：新化,秋季
扁蒲,5月，6月，7月，8月，9月，10月,新北：淡水，彰化：竹塘、溪州、二水、埤頭，雲林：莿桐、西螺、崙背、林內、虎尾、土庫，嘉義：新港、鹿草、溪口、水上、太保、朴子、民雄、六腳、義竹,秋季
一葉蘭,3月，4月，5月,台北市，新北市，新竹，苗栗：南庄，宜蘭，南投：梅峰，嘉義,秋季
大菁,5月，10月,新北市：石碇，基隆：暖暖,秋季
佛手瓜,1月，2月，3月，4月，9月，10月，11月，12月,新北：中和、石門、三峽、土城、鶯歌、八里、永和，台北：北投，新竹：湖口，苗栗：獅潭，台中：和平，南投：名間，彰化：田尾，雲林：斗六，嘉義：番路、中埔、竹崎、義竹、水上，花蓮：壽豐,秋季
百合,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,桃園：大園、蘆竹，苗栗：三義、泰安，台中：后里、新社、神岡、外埔、大雅、石岡、烏日、大甲，南投：仁愛、魚池，彰化：田中、北斗、埤頭、田尾，嘉義：阿里山，台南：善化,秋季
山櫻花,1月，2月，3月，4月,新北市：三芝，桃園，新竹，台中，南投，嘉義，台東,秋季
秀珍菇,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,新北市：平溪，新竹：橫山、復興，苗栗：苗栗市、三義、南庄，南投：魚池、埔里，台中：新社，,秋季
桂竹筍,4月，5月,新北市：平溪、烏來、金山、三峽，桃園：復興，新竹：北埔、尖石、芎林，苗栗：南庄、泰安、大湖、獅潭、銅鑼,秋季
小麥,4月，5月,新竹：湖口，苗栗：苑裡，台中：大雅、外埔、西屯，彰化：大城、福興、芳苑、鹿港、二林，雲林：麥寮，嘉義：東石，台南：學甲、鹽水，花蓮：玉里，金門：金沙、金寧、烈嶼、金城、金湖,秋季
仙蜜果,5月，6月，7月，8月，9月，10月，11月，12月,桃園：新屋，新竹：橫山，苗栗：三灣、泰安，宜蘭：羅東，花蓮：玉里、壽豐，台東：成功、長演,秋季
闊葉大豆,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,金門:烈嶼鄉、金寧鄉、金城鎮、金湖鎮、金沙鎮,秋季
麥蔥,2月，3月，4月，5月，6月,連江縣：馬祖,秋季
蓮子、蓮藕,6月，9月,新北：淡水、三芝，台北：北投，桃園：蘆竹、觀音、大園、新屋，苗栗：苗栗、銅鑼，嘉義：民雄、新港、水上、中埔，台南：白河、後壁、官田、六甲、柳營高雄：仁武，花蓮：吉安,秋季
狼尾草,1月，12月,台南市:柳營鄉,秋季
胡蘿蔔,1月，2月，3月，4月，10月，11月,台北：北投，彰化：芳苑、二林、大城、埤頭、福興，雲林：四湖、東勢、元長、麥寮、北港、臺西、土庫，台南：將軍、西港、佳里、麻豆、安定、七股，澎湖：湖西,秋季
牛蒡,2月，3月，4月,雲林：四湖、麥寮、臺西，雲林：褒忠、水林、東勢，嘉義：六腳，台南：佳里、七股、將軍，屏東：屏東,秋季
蔥頭,1月，2月,彰化：伸港，雲林：水林、北港、四湖、東勢、虎尾、元長，嘉義：義竹，台南：七股、安南、北門、學甲、佳里、安定、將軍、西港、善化，高雄：美濃、仁武、大寮,秋季
椪柑,1月，10月，11月，12月,新竹：新埔、寶山、峨眉，苗栗：卓蘭、大湖、公館，台中：東勢、北屯、豐原、石岡、新社、后里、潭子，雲林：古坑，嘉義：梅山、竹崎、番路、大林，台南：東山、白河,秋季
金甘蕃茄,11，12月，1月，2月，3月,台南市:永康市,秋季
胡麻,6月，7月，11月,台中市，彰化縣，台南市:安定鄉,秋季
硬質玉米,2月，3月，4月，5月，6月，7月，8月，9月,台南市:新營市,秋季
火鶴花,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,台中：后里，南投：埔里，彰化：二水，嘉義：竹崎、中埔，台南：六甲、柳營、下營、官田、山上、新化、玉井，高雄：內門、旗山、橋頭、杉林、美濃，屏東：新埤、萬巒、鹽埔,秋季
美濃瓜,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,嘉義縣:民雄鄉,秋季
甘薯葉,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,嘉義縣:新港鄉,秋季
高山茶,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,嘉義縣:竹崎鄉,秋季
橘子,11月，12月，1月,嘉義縣:梅山鄉,秋季
栗子,8月，9月，10月,新竹：關西，苗栗：三灣、南庄，台中：和平、石岡，南投：仁愛、魚池、國姓、竹山、中寮，彰化：員林，嘉義：中埔、竹崎、大埔、番路、梅山，花蓮：壽豐，台東：池上、東河,秋季
黑木耳,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,新北：平溪，新竹：關西，台中：霧峰、新社、石岡，南投：埔里、國姓、竹山、草屯、集集，彰化：埔心、芳苑，嘉義：中埔、番路、魚池、大林，台南：佳里、官田，屏東：內埔，花蓮：吉安,秋季
黃秋葵,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,嘉義縣:鹿草鄉,秋季
柳丁,11月，12月，1月,嘉義縣:大林鎮,秋季
山葵,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,桃園：復興，苗栗：南庄，彰化：花壇，嘉義：民雄，台南：後壁，花蓮：鳳林,秋季
梨子蒲,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,嘉義縣:溪口鄉,秋季
小蕃茄,12月，1月，2月，3月,嘉義縣:六腳鄉,秋季
彩椒,11月，12月，1月，2月，3月，4月,新竹：尖石，台中：新社，南投：信義、仁愛、埔里、竹山，彰化：北斗，雲林：莿桐、西螺、崙背、虎尾、林內、二崙，嘉義：新港、溪口、六腳、水上，高雄：路竹、美濃，屏東：里港,秋季
有機米,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,嘉義縣:太保鄉,秋季
香水蓮花,6月，7月，8月，9月,嘉義縣:水上鄉,秋季
有機紅薏仁,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,嘉義縣:朴子市,秋季
越瓜,6月，7月，8月,新竹：香山，彰化：芳苑、埔鹽、竹塘、田中，雲林：虎尾、元長、莿桐，嘉義：布袋、東石、朴子、鹿草、新港、太保，高雄：大寮，屏東：潮州、新園、新埤，澎湖：望安、馬公,秋季
桑椹,4，5月，6月,新北：淡水，宜蘭：冬山、員山，苗栗：造橋、獅潭、公館，台中：大肚，南投：鹿谷，彰化：埤頭，台南：仁德、柳營、鹽水、善化，屏東：新園、內埔，花蓮：壽豐、秀林、富里，台東：長濱,秋季
金煌芒果,5月，6月，7，8月,高雄市:六龜鄉，台南市，屏東縣,秋季
美濃米,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,高雄市:美濃鎮,秋季
改良種芒果,5月，6月，7月,屏東縣:枋寮鄉,秋季
本地種芒果,3月，4月,屏東縣:鹽埔鄉,秋季
可可椰子,3月，4月，5月，6月，7月,台南：安南，高雄：旗山、杉林、美濃，屏東：長治、鹽埔、恆春、滿州、麟洛、屏東、高樹、九如、新埤，台東：東河、成功、卑南、太麻里、臺東、大武、長濱,秋季
胡瓜,1月，2月，3月，4月，8月，9月，10月，11月,苗栗：大湖，南投：埔里、水里，彰化：大城、溪州、永靖，雲林：莿桐、西螺，嘉義：六腳、水上，高雄：美濃，屏東：里港、九如、高樹、鹽埔、萬丹、路竹、旗山、杉林、萬巒,秋季
玉荷包,5月，6月,屏東縣:恆春鎮,秋季
金銀花,2月，3月，4月，5月,連江縣：馬祖,秋季
黃藤心,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,花蓮：光復、豐濱，新北市：三芝,秋季
桶柑,1月，2月，3月,宜蘭：員山，桃園：復興，新竹：峨嵋、寶山、關西、新埔、芎林、橫山、北埔，苗栗：卓蘭、大湖、三灣、獅潭、頭份、泰安、公館，台中：和平、東勢、新社，台東：成功,冬季
蓮霧,1月，2月，3月，4月，5月，12月,新北：淡水、三芝，台北：北投，桃園：蘆竹、觀音、大園、新屋，苗栗：苗栗、銅鑼，嘉義：民雄、新港、水上、中埔，台南：白河、後壁、官田、六甲、柳營，高雄：仁武，花蓮：吉安,冬季
番石榴,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,宜蘭：員山，彰化：溪州、社頭、二水、員林，雲林：古坑，嘉義：中埔，台南：楠西、玉井、大內、南化、山上，高雄：燕巢、阿蓮、大社、旗山、美濃、岡山、甲仙，屏東：高樹,冬季
金棗,1月，2月,宜蘭：礁溪、員山,冬季
蒜,2月，3月，4月,彰化：大城、伸港，雲林：四湖、元長、東勢、土庫、虎尾、水林、臺西、褒忠、麥寮、北港、口湖、崙背、薊桐、西螺、大埤、二崙，台南：北門、七股,冬季
韭菜,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,新北：三峽、林口，宜蘭：員山，桃園：大溪、龍潭，台中：清水，彰化：二林、溪湖、埔鹽、埤頭、芳苑、竹塘、北斗、田尾、溪州、大城、埔心，高雄：美濃，屏東：萬丹，花蓮：吉安,冬季
蔥,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,宜蘭：三星、員山、壯圍，台中：大甲，彰化：芳苑、二林、埔鹽、溪湖、福興、大城，南投：仁愛，雲林：土庫、元長、麥寮、褒忠、崙背、東勢、虎尾、西螺、二崙,冬季
辣椒,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,台中：新社，雲林：林內，嘉義：鹿草、新港、朴子、六腳、義竹、溪口、布袋，台南：後壁、白河，高雄：美濃，屏東：鹽埔、高樹、萬丹、九如、恆春、新園，花蓮：壽豐，台東：關山,冬季
聖誕紅,10月，11月，12月，1月，2月，3月，4月,桃園：復興、楊梅、新屋、觀音、龜山、平鎮、大溪、蘆竹，苗栗：卓蘭，宜蘭：宜蘭市、三星、礁溪，台中：東勢、新社，南投：埔里，高雄：三民,冬季
油菜,12月，1月，2月,宜蘭：蘇澳，苗栗：苑裡，台中：大肚、北屯、龍井、烏日、西屯，彰化：芬園、彰化，雲林：土庫、斗六、莿桐、虎尾、西螺，台南：六甲，花蓮：富里、玉里、卓溪，台東：關山、成功,冬季
文心蘭,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,桃園：楊梅，台中：新社、后里、外埔、東勢、石岡、北屯，雲林：古坑、斗南、林內、大埤，嘉義：大林，台南：玉井，屏東：鹽埔、長治、內埔、里港、竹田、高樹、新碑,冬季
蝴蝶蘭,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,台東：成功，宜蘭：宜蘭市、壯圍、礁溪、五結、羅東、蘇澳、員山，雲林縣，嘉義縣，台南市,冬季
鐵炮百合,10月，11月，12月，1月，2月，3月,苗栗：三義、泰安，宜蘭：宜蘭市、五結、壯圍、三星，台中市：后里、新社、和平，彰化：田尾，南投：仁愛、魚池、阿里山,冬季
三星銀柳,12月，1月，2月,宜蘭：三星，花蓮,冬季
寒梅,10月，11月，12月，1月，2月，3月，4月，5月,宜蘭：蘇澳，花蓮,冬季
甘蔗,10月，11月，12月，1月，2月，3月，4月，5月,南投：埔里、竹山，彰化：西州，嘉義：鹿草、中埔、溪口、六腳、阿里山，雲林：元長、土庫、林內、莿桐，台南：白河、歸仁、善化，高雄：大寮，屏東：萬丹、高樹、九如，台東：鹿野,冬季
虎頭柑,11月，12月，1月，2月,主產於桃園、苗栗、台中市東勢、石岡，果農大多是在家裡種上一、二株虎頭柑，自用或分送親友用。,冬季
山蘇,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,宜蘭：南澳，台中：外埔，南投：名間、魚池，雲林：莿桐，嘉義：中埔、民雄，台南：左鎮、柳營，屏東：獅子、牡丹、春日，花蓮：秀林、鳳林、萬榮、壽豐、光復、瑞穗、豐濱，台東：太麻里,冬季
玉米,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,彰化：芳苑，雲林：虎尾、元長、土庫、東勢、褒忠、莿桐、四湖、口湖、臺西、水林、林內，嘉義：六腳、太保、水上、新港，台南：安南、安定，高雄：大寮，花蓮：吉安,冬季
山藥,1月，2月，9月，10月，11月，12月,新北：三芝、雙溪、貢寮、平溪，台北：士林，宜蘭：五結、壯圍，台中：沙鹿，南投：名間、南投、埔里、竹山，彰化：芳苑、二林，雲林：斗六、崙背，嘉義：中埔，高雄：大社，屏東：高樹、春日,冬季
甜椒,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,新竹：尖石，台中：新社，彰化：北斗，南投：信義、仁愛、埔里、竹山，雲林：西螺、崙背、虎尾、林內、二崙，嘉義：新港、溪口、六腳、水上，高雄：路竹、美濃，屏東：里港，台東：海瑞,冬季
芋頭,11月，12月，1月，2月，3月，4月,新北：三芝、金山、淡水，苗栗：公館、銅鑼、苑裡、苗栗，台中：大甲、外埔、后里、清水，雲林：林內，嘉義：中埔，台南：新化，屏東：高樹、春日、九如，花蓮：吉安，金門：列嶼,冬季
釋迦,1月，2月，3月，7月，8月，12月,臺東：卑南、太麻里、東河、金峰、鹿野、大武，高雄：阿蓮、岡山，屏東,冬季
蕃茄,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,苗栗：大湖，南投：仁愛、信義、埔里，彰化：埔鹽，雲林：莿桐、西螺、虎尾，嘉義：太保、新港、水上、民雄、六腳、溪口，台南：鹽水、歸仁、新市，高雄：美濃、路竹、阿蓮,冬季
枇杷,2月，3月，4月，5月,桃園：復興，苗栗：大湖、頭屋、卓蘭、公館，台中：新社、太平、東勢、北屯、石岡，南投：國姓、信義、南投，台東：卑南、太麻里、金峰、鹿野、池上、關山,冬季
甘藍,1月，2月，3月，4月，8月，9月，10月，11月，12月,宜蘭：大同，新竹：尖石，台中：和平，南投：仁愛、信義，彰化：芳苑、二林、竹塘，雲林：四湖、土庫、元長、麥寮、東勢、二崙、水林、臺西、莿桐，嘉義：鹿草，台南：善化，台東：海端,冬季
苦瓜,3月，4月，5月，6月，7月，8月，9月，10月,台中：新社、后里，南投：埔里，彰化：埔鹽、竹塘、二林、溪州，高雄：大樹、杉林、旗山，屏東：萬丹、里港、九如、高樹、南州、鹽埔、崁頂、萬巒、新園，花蓮：壽豐,冬季
南瓜,12月，1月，2月，3月，4月，5月，6月，7月,新北：淡水，南投：埔里，雲林：水林、口湖，嘉義：朴子、鹿草、六腳，台南：歸仁、安定，高雄：美濃、路竹、杉林，屏東：萬丹，花蓮：鳳林、吉安、光復、壽豐、秀林、卓溪，台東：成功,冬季
蘋果,9月，10月，11月，12月,桃園：復興，台中：和平，南投：仁愛，嘉義：義竹，高雄：美濃，花蓮：卓溪，金門：金寧,冬季
花椰菜,1月，2月，3月，4月，8月，9月，10月，11月，12月,彰化：埔鹽、大城、溪湖、永靖、福興、埔心、二林、鹿港、田尾，雲林：水林、褒忠、西螺、大埤、元長，嘉義：新港、溪口，高雄：路竹、橋頭、梓官、阿蓮,冬季
奇異果,1月，2月，3月，4月，9月，10月，11月，12月,新竹：五峰，台中,冬季
蘿蔔,1月，2月，3月，4月，8月，9月，10月，11月,台北：北投，新竹：竹東，台中：清水、沙鹿，南投：埔里，彰化：芳苑、二林、溪州，雲林：四湖、東勢、元長，嘉義：東石、布袋、六腳，台南：安南，高雄：美濃、大寮、六龜，台東：成功,冬季
海芋,12月，1月，2月，3月，4月，5月,原產地：南非。台灣產地：白色海芋主要產區為陽明山竹子湖；彩色海芋則為陽明山竹子湖、新竹五峰鄉、台中后里鄉、南投信義鄉。台北市,冬季
葡萄,1月，2月，5月，6月，7月，8月，9月，10月，11月，12月,苗栗、彰化、南投、台中,冬季
楊桃,1月，2月，3月，4月，7月，8月，9月，10月，11月，12月,宜蘭：員山，新竹：芎林，苗栗：卓蘭，台中：東勢、新社，南投：南投，彰化：員林、花壇、社頭、芬園、大村，雲林：莿桐、林內，台南：楠西、玉井、東山、山上，高雄：阿蓮，屏東：高樹、里港、鹽埔,冬季
草莓,1月，2月，3月，4月，12月,台北：內湖，桃園：大溪，新竹：關西，苗栗：大湖、獅潭、卓蘭、公館、泰安、三義、銅鑼，台中：后里、潭子，南投：國姓、草屯，雲林：林內，嘉義：大林，台南：善化、新巿，高雄：阿蓮，花蓮：鳳林,冬季
木瓜,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,南投：埔里、名間、竹山、國姓，雲林：林內，嘉義：中埔、水上，台南：大內、楠西、玉井、南化、山上，高雄：美濃、六龜、杉林，屏東：高樹、新埤、長治、內埔，台東：卑南,冬季
印度棗,1月，2月，3月，12月,屏東縣、高雄市、台南市等,冬季
咖啡,10月，11月，12月，1月,苗栗：卓蘭、泰安，南投：國姓、仁愛、水里，雲林：古坑，嘉義：阿里山、梅山、中埔，台南：東山，高雄：桃源、茂林，屏東：三地門、泰武、春日，花蓮：瑞穗，台東：太麻里、金峰、長濱、卑南,冬季
柳橙,1月，2月，11月，12月,南投：中寮、水里，雲林：古坑、斗六、斗南，嘉義：竹崎、大林、梅山、中埔、水上、民雄、番路、東區，台南：六甲、白河、東山、柳營、大內、官田、南化,冬季
馬鈴薯,1，2月,台中：后里、神岡、潭子、豐原，雲林：虎尾、斗南、斗六、莿桐、崙背、西螺、大埤，嘉義：新港、六腳、太保、溪口、水上、朴子、大林、民雄，台南：善化,冬季
絲瓜,3月，4月，5月，6月，7月，8月，9月，10月,南投：埔里、魚池、水里、國姓，彰化：溪湖，雲林：斗六、斗南，嘉義：中埔、水上，台南：東山、柳營、白河，高雄：旗山、大社、美濃，屏東：里港、九如、鹽埔、萬丹、新園,冬季
青花菜,10月，1月，2月，3月，4月,彰化：芳苑、二林，雲林：崙背、元長、水林、麥寮、二崙、虎尾、北港、褒忠、土庫、大埤，嘉義：六腳、新港、鹿草、太保、朴子、溪口，高雄：路竹、湖內,冬季
杏鮑菇,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,嘉義縣:東石鄉，台中市，彰化縣，南投縣,冬季
香蕉,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,南投：中寮、國姓、集集、水里，雲林：古坑，嘉義：竹崎、中埔、梅山、番路，高雄：旗山、美濃、內門，屏東：萬巒、高樹、內埔、里港、鹽埔、新埤、長治，花蓮：壽豐,冬季
